33	275	1
31	285	1
56	293	-1
80	112	1
84	189	1
92	452	1
93	603	-1
111	190	1
122	98	-1
135	170	-1
128	219	1
161	346	-1
170	434	-1
181	347	-1
180	364	-1
209	77	1
207	188	1
199	201	1
207	335	1
223	407	-1
229	184	-1
270	458	1
294	598	1
297	638	1
351	572	1
373	535	-1
492	579	1
538	582	-1
395	398	-1
277	213	1
297	124	1
304	201	-1
311	196	-1
316	200	-1
322	200	-1
350	149	1
405	128	-1
401	219	-1
425	223	1
441	134	1
453	175	1
462	127	-1
443	272	-1
464	250	-1
503	212	1
524	186	-1
542	185	1
599	164	-1
621	164	1
509	273	1
517	277	1
531	238	1
560	230	1
614	226	-1
501	337	-1
560	351	-1
594	327	-1
615	377	1
348	235	1
346	336	1
335	334	-1
333	278	-1
294	280	-1
